customer_id,date,balance,credit_limit,dpd,product_code,origination_date,apr,industry,kam_owner,customer_type,status
CUST001,2025-01-15,50000,100000,0,PROD_A,2024-01-01,0.12,technology,KAM_001,sme,active
CUST002,2025-01-15,250000,300000,15,PROD_B,2023-06-15,0.15,manufacturing,KAM_002,corporate,delinquent
CUST003,2025-01-15,5000,10000,45,PROD_A,2024-08-20,0.25,retail,KAM_003,micro,delinquent
CUST004,2025-01-15,1500000,2000000,0,PROD_C,2022-03-10,0.10,finance,KAM_001,enterprise,active
CUST005,2025-01-15,75000,150000,30,PROD_A,2024-05-22,0.18,healthcare,KAM_004,sme,delinquent
CUST006,2025-01-15,8000,15000,60,PROD_B,2024-09-01,0.28,retail,KAM_003,micro,delinquent
CUST007,2025-01-15,500000,600000,0,PROD_C,2023-11-05,0.11,technology,KAM_002,corporate,active
CUST008,2025-01-15,3000,8000,90,PROD_A,2024-10-15,0.35,services,KAM_005,micro,delinquent
CUST009,2025-01-15,180000,250000,5,PROD_B,2024-02-28,0.14,construction,KAM_004,sme,active
CUST010,2025-01-15,2500000,3000000,0,PROD_C,2021-08-12,0.09,manufacturing,KAM_001,enterprise,active
